year,sensor,sensor_past1,sensor_past2
1985,l5,,
1986,l5,l5,
1987,l5,l5,l5
1988,l5,l5,l5
1989,l5,l5,l5
1990,l5,l5,l5
1991,l5,l5,l5
1992,l5,l5,l5
1993,l5,l5,l5
1994,l5,l5,l5
1995,l5,l5,l5
1996,l5,l5,l5
1997,l5,l5,l5
1998,l5,l5,l5
1999,l5,l5,l5
2000,l5,l5,l5
2001,l7,l5,l5
2002,l7,l7,l5
2003,l5,l7,l7
2004,l5,l5,l7
2005,l5,l5,l5
2006,l5,l5,l5
2007,l5,l5,l5
2008,l5,l5,l5
2009,l5,l5,l5
2010,l5,l5,l5
2011,l7,l5,l5
2012,l7,l7,l5
2013,l8,l7,l7
2014,l8,l8,l7
2015,l8,l8,l8
2016,l8,l8,l8
2017,l8,l8,l8
2018,l8,l8,l8
2019,l8,l8,l8
2020,l8,l8,l8
2021,l8,l8,l8
2022,l8,l8,l8
